"size.L1"	"mr.L1"	"cost"	"mr.L2i"	"size.L2e"	"latency"
120	87.568492625	3.2	0.909723096360723	3054.11764705882	0.177721356068351
140	85.0301506071429	3.3	0.911475235980774	2910.58823529412	0.175354723733259
140	85.0301506071429	3.4	0.909684403295949	3061.17647058824	0.175179222130146
160	82.6654145882353	3.5	0.90986104554818	2917.64705882353	0.172831797051957
160	82.6654145882353	3.6	0.909645710231174	3068.23529411765	0.17281069419089
180	80.2144263529412	3.7	0.909822352483406	2924.70588235294	0.170377016896315
200	77.85780875	3.8	0.93178195834287	2781.17647058824	0.170172440667601
200	77.85780875	3.9	0.909783659418631	2931.76470588235	0.168016607373026
200	77.85780875	4	0.909568324101625	3082.35294117647	0.167995504511959
200	77.85780875	4.1	0.909352988784619	3232.94117647059	0.167974401650893
240	73.1752501153846	4.2	0.915949598535134	2795.29411764706	0.163938310771828
240	73.1752501153846	4.3	0.909706273289082	2945.88235294118	0.163326464897715
240	73.1752501153846	4.4	0.909490937972076	3096.47058823529	0.163305362036648
280	68.8192971311475	4.5	0.944172500801099	2658.82352941176	0.162348202209655
280	68.8192971311475	4.6	0.909844222476539	2809.41176470588	0.158984030933848
280	68.8192971311475	4.7	0.909628887159533	2960	0.158962928072782
280	68.8192971311475	4.8	0.909413551842527	3110.58823529412	0.158941825211715
320	64.6018072857143	4.9	0.928340140993362	2672.94117647059	0.156579141103064
320	64.6018072857143	5	0.90976683634699	2823.52941176471	0.154758957247719
320	64.6018072857143	5.1	0.909551501029984	2974.11764705882	0.154737854386653
320	64.6018072857143	5.2	0.909336165712978	3124.70588235294	0.154716751525586
360	60.3707749047619	5.3	0.912507781185626	2687.05882352941	0.150796537460953
360	60.3707749047619	5.4	0.909689450217441	2837.64705882353	0.150520341026071
360	60.3707749047619	5.5	0.909474114900435	2988.23529411765	0.150499238165005
400	56.3539678644068	5.6	0.94073068345159	2550.58823529412	0.149545574842663
400	56.3539678644068	5.7	0.909827399404898	2701.17647058824	0.146517053006087
400	56.3539678644068	5.8	0.909612064087892	2851.76470588235	0.14649595014502
400	56.3539678644068	5.9	0.909396728770886	3002.35294117647	0.146474847283954
440	52.408526	6	0.924898323643854	2564.70588235294	0.144048561717098
440	52.408526	6.1	0.909750013275349	2715.29411764706	0.142564027300984
440	52.408526	6.2	0.909534677958343	2865.88235294118	0.142542924439918
440	52.408526	6.3	0.909319342641337	3016.4705882353	0.142521821578851
480	48.433406	6.4	0.909887962462806	2578.82352941176	0.138602426321355
480	48.433406	6.5	0.9096726271458	2729.41176470588	0.138581323460288
480	48.433406	6.6	0.909457291828794	2880	0.138560220599222
520	45.3043742352941	6.7	0.937288866102083	2442.35294117647	0.138158683113298
520	45.3043742352941	6.8	0.909810576333257	2592.94117647059	0.135465810715953
520	45.3043742352941	6.9	0.909595241016251	2743.52941176471	0.135444707854887
520	45.3043742352941	7	0.909379905699245	2894.11764705882	0.13542360499382
560	42.3868645294118	7.1	0.921456506294346	2456.47058823529	0.133689602146258
560	42.3868645294118	7.2	0.909733190203708	2607.05882352941	0.132540717169375
560	42.3868645294118	7.3	0.909517854886702	2757.64705882353	0.132519614308309
560	42.3868645294118	7.4	0.909302519569696	2908.23529411765	0.132498511447242
600	39.4693548235294	7.5	0.909871139391165	2470.58823529412	0.129636726483864
600	39.4693548235294	7.6	0.909655804074159	2621.17647058824	0.129615623622797
600	39.4693548235294	7.7	0.909440468757153	2771.76470588235	0.12959452076173
640	36.5445328032787	7.8	0.933847048752575	2334.11764705882	0.129061543581031
640	36.5445328032787	7.9	0.909793753261616	2484.70588235294	0.126704320622917
640	36.5445328032787	8	0.90957841794461	2635.29411764706	0.12668321776185
640	36.5445328032787	8.1	0.909363082627604	2785.88235294118	0.126662114900784
680	33.6087423114754	8.2	0.918014688944838	2348.23529411765	0.12457418182807
680	33.6087423114754	8.3	0.909716367132067	2498.82352941177	0.123760946290418
680	33.6087423114754	8.4	0.909501031815061	2649.41176470588	0.123739843429351
680	33.6087423114754	8.5	0.909285696498054	2800	0.123718740568285
720	30.6729518196721	8.6	0.909854316319524	2362.35294117647	0.120838674818985
720	30.6729518196721	8.7	0.909638981002518	2512.94117647059	0.120817571957919
720	30.6729518196721	8.8	0.909423645685512	2663.52941176471	0.120796469096852
760	28.0385947391304	8.9	0.930405231403067	2225.88235294118	0.120218307416631
760	28.0385947391304	9	0.909776930189975	2376.47058823529	0.118196733897748
760	28.0385947391304	9.1	0.909561594872969	2527.05882352941	0.118175631036681
760	28.0385947391304	9.2	0.909346259555962	2677.64705882353	0.118154528175615
800	25.9640425652174	9.3	0.914572871595331	2240	0.11659218398156
800	25.9640425652174	9.4	0.909699544060426	2390.58823529412	0.116114597883139
800	25.9640425652174	9.5	0.90948420874342	2541.17647058824	0.116093495022073
800	25.9640425652174	9.6	0.909268873426413	2691.76470588235	0.116072392161006
840	23.8894903913043	9.7	0.909837493247883	2254.11764705882	0.114053564729597
840	23.8894903913043	9.8	0.909622157930877	2404.70588235294	0.11403246186853
840	23.8894903913043	9.9	0.90940682261387	2555.29411764706	0.114011359007464
880	21.8149382173913	10	0.926963414053559	2117.64705882353	0.11365735279464
880	21.8149382173913	10.1	0.909760107118334	2268.23529411765	0.111971428714988
880	21.8149382173913	10.2	0.909544771801328	2418.82352941177	0.111950325853921
