"size.L1"	"mr.L1"	"cost"	"mr.L2i"	"size.L2e"	"latency"
60	17.623044	7.9	5.90056851710787	11014.1176470588	0.596878758676571
60	17.623044	8	5.89136486666475	11164.7058823529	0.595976800933146
60	17.623044	8.1	5.88216121622164	11315.2941176471	0.595074843189721
60	17.623044	8.2	5.87295756577853	11465.8823529412	0.594172885446296
60	17.623044	8.3	5.86375391533542	11616.4705882353	0.593270927702871
60	17.623044	8.4	5.85455026489231	11767.0588235294	0.592368969959446
60	17.623044	8.5	5.84534661444919	11917.6470588235	0.591467012216021
60	17.623044	8.6	5.83614296400608	12068.2352941176	0.590565054472596
60	17.623044	8.7	5.82702772639885	12218.8235294118	0.589671761187088
80	16.2505907692308	8.8	5.83448918306708	12075.2941176471	0.589030530709805
80	16.2505907692308	8.9	5.82599963629842	12225.8823529412	0.588198555126476
80	16.2505907692308	9	5.82027809139168	12376.4705882353	0.587637843725615
80	16.2505907692308	9.1	5.81455654648494	12527.0588235294	0.587077132324754
80	16.2505907692308	9.2	5.80883500157819	12677.6470588235	0.586516420923894
80	16.2505907692308	9.3	5.80311345667145	12828.2352941176	0.585955709523033
80	16.2505907692308	9.4	5.79739191176471	12978.8235294118	0.585394998122172
80	16.2505907692308	9.5	5.79167036685796	13129.4117647059	0.584834286721311
80	16.2505907692308	9.6	5.78594882195122	13280	0.58427357532045
80	16.2505907692308	9.7	5.78022727704448	13430.5882352941	0.583712863919589
80	16.2505907692308	9.8	5.77450573213773	13581.1764705882	0.583152152518729
80	16.2505907692308	9.9	5.76878418723099	13731.7647058824	0.582591441117868
80	16.2505907692308	10	5.76306264232425	13882.3529411765	0.582030729717007
80	16.2505907692308	10.1	5.7573410974175	14032.9411764706	0.581470018316146
80	16.2505907692308	10.2	5.75161955251076	14183.5294117647	0.580909306915285
100	15.2522416	10.3	5.75631300731707	14040	0.580370916317073
100	15.2522416	10.4	5.75059146241033	14190.5882352941	0.579810204916212
100	15.2522416	10.5	5.74681482579186	14341.1764705882	0.579440094527602
120	14.6161496470588	10.6	5.7495633723099	14197.6470588235	0.579073360133429
120	14.6161496470588	10.7	5.74623972698895	14348.2352941176	0.578747642891975
120	14.6161496470588	10.8	5.74303917712927	14498.8235294118	0.578433989005728
120	14.6161496470588	10.9	5.7398386272696	14649.4117647059	0.57812033511948
120	14.6161496470588	11	5.73663807740993	14800	0.577806681233232
120	14.6161496470588	11.1	5.73343752755026	14950.5882352941	0.577493027346984
120	14.6161496470588	11.2	5.73023697769059	15101.1764705882	0.577179373460737
120	14.6161496470588	11.3	5.72703642783092	15251.7647058824	0.576865719574489
120	14.6161496470588	11.4	5.72383587797125	15402.3529411765	0.576552065688241
120	14.6161496470588	11.5	5.72063532811158	15552.9411764706	0.576238411801993
120	14.6161496470588	11.6	5.7174347782519	15703.5294117647	0.575924757915746
120	14.6161496470588	11.7	5.71423422839223	15854.1176470588	0.575611104029498
120	14.6161496470588	11.8	5.71103367853256	16004.7058823529	0.57529745014325
120	14.6161496470588	11.9	5.70783312867289	16155.2941176471	0.574983796257002
140	14.0665299259259	12	5.71045857972965	16011.7647058824	0.574691470739432
140	14.0665299259259	12.1	5.70725802986998	16162.3529411765	0.574377816853184
140	14.0665299259259	12.2	5.70527593043028	16312.9411764706	0.574183571108093
160	13.6451126571429	12.3	5.70668293106707	16169.4117647059	0.573900039901716
160	13.6451126571429	12.4	5.70514672438249	16320	0.573749491646627
180	13.2903458	12.5	5.70610783226416	16176.4705882353	0.573488913361888
180	13.2903458	12.6	5.7050175183347	16327.0588235294	0.573382062596801
