"size.L1"	"mr.L1"	"latency"	"mr.L2"	"size.L2e"	"cost"
0	1	1.02	0.0836734693877551	1303.65059759147	0.865705474963085
0	1	1.03	0.0846938775510204	1296.94664111774	0.861253628867249
0	1	1.04	0.0857142857142857	1290.24268464401	0.856801782771413
0	1	1.05	0.086734693877551	1283.53872817028	0.852349936675577
0	1	1.06	0.0877551020408163	1276.83477169655	0.847898090579742
0	1	1.07	0.0887755102040816	1270.13081522282	0.843446244483906
0	1	1.08	0.0897959183673469	1263.42685874909	0.83899439838807
0	1	1.09	0.0908163265306123	1258.20680654522	0.835527957471436
0	1	1.1	0.0918367346938775	1254.53847197606	0.833091954046599
0	1	1.11	0.0928571428571429	1250.87013740689	0.830655950621763
0	1	1.12	0.0938775510204082	1247.20180283772	0.828219947196926
0	1	1.13	0.0948979591836735	1243.53346826856	0.82578394377209
