"size.L1"	"size.L2i"	"mr.L1"	"mr.L2"	"size.L2e"	"cost"	"latency"	"workload"
1568	7840	0.0848973890733591	0.0619350447961165	6272	19.4775	0.715453177909278	"Tenant 1"
1600	8000	0.0845588661389961	0.0617238976116505	6400	19.875	0.713350083208074	"Tenant 1"
1632	8160	0.0842203432046332	0.0615127504271845	6528	20.2725	0.711246988506871	"Tenant 1"
1664	8320	0.0838818202702703	0.061349001955774	6656	20.67	0.709608401193612	"Tenant 1"
1696	8480	0.0835432973359073	0.0611957463292383	6784	21.0675	0.708072643760126	"Tenant 1"
1728	8640	0.0832047744015444	0.0610424907027027	6912	21.465	0.706536886326641	"Tenant 1"
1760	8800	0.0828662514671815	0.0608892350761671	7040	21.8625	0.705001128893155	"Tenant 1"
1792	8960	0.0825552621259843	0.0607359794496314	7168	22.26	0.703468124818987	"Tenant 1"
1824	9120	0.0822718063779528	0.0605827238230958	7296	22.6575	0.701937874104134	"Tenant 1"
1856	9280	0.0819883506299213	0.0604294681965602	7424	23.055	0.700407623389282	"Tenant 1"
1888	9440	0.0817048948818898	0.0602762125700246	7552	23.4525	0.69887737267443	"Tenant 1"
1920	9600	0.0814214391338583	0.0601229569434889	7680	23.85	0.697347121959577	"Tenant 1"
1952	9760	0.0811379833858268	0.0599697013169533	7808	24.2475	0.695816871244725	"Tenant 1"
1984	9920	0.0808545276377953	0.0598164456904177	7936	24.645	0.694286620529873	"Tenant 1"
2016	10080	0.0805710718897638	0.0596631900638821	8064	25.0425	0.692756369815021	"Tenant 1"
2048	10240	0.0803191153696498	0.0595154811214042	8192	25.44	0.691283626526726	"Tenant 1"
2080	10400	0.0800916582490272	0.0594176923354461	8320	25.8375	0.690302550712275	"Tenant 1"
2112	10560	0.0798642011284047	0.0593199035494881	8448	26.235	0.689321474897823	"Tenant 1"
2144	10720	0.0796367440077821	0.05922211476353	8576	26.6325	0.688340399083372	"Tenant 1"
2176	10880	0.0794092868871595	0.0591243259775719	8704	27.03	0.687359323268921	"Tenant 1"
2208	11040	0.079181829766537	0.0590265371916138	8832	27.4275	0.686378247454469	"Tenant 1"
2240	11200	0.0789543726459144	0.0589287484056558	8960	27.825	0.685397171640018	"Tenant 1"
2272	11360	0.0787269155252918	0.0588309596196977	9088	28.2225	0.684416095825567	"Tenant 1"
2304	11520	0.0784994584046693	0.0587331708337396	9216	28.62	0.683435020011115	"Tenant 1"
2336	11680	0.0782720012840467	0.0586353820477816	9344	29.0175	0.682453944196664	"Tenant 1"
2368	11840	0.0780445441634241	0.0585375932618235	9472	29.415	0.681472868382213	"Tenant 1"
2400	12000	0.0778170870428016	0.0584398044758654	9600	29.8125	0.680491792567761	"Tenant 1"
2432	12160	0.077589629922179	0.0583420156899074	9728	30.21	0.67951071675331	"Tenant 1"
2464	12320	0.0773621728015564	0.0582546324146341	9856	30.6075	0.67863161494357	"Tenant 1"
2496	12480	0.0771347156809339	0.058193841	9984	31.005	0.678013113368093	"Tenant 1"
2528	12640	0.0769072585603113	0.0581330495853659	10112	31.4025	0.677394611792616	"Tenant 1"
2560	12800	0.0767048601167315	0.0580722581707317	10240	31.8	0.676778616084844	"Tenant 1"
2592	12960	0.0765275203501946	0.0580114667560976	10368	32.1975	0.676165126244776	"Tenant 1"
2624	13120	0.0763501805836576	0.0579506753414634	10496	32.595	0.675551636404707	"Tenant 1"
2656	13280	0.0761728408171206	0.0578898839268293	10624	32.9925	0.674938146564639	"Tenant 1"
2688	13440	0.0759955010505837	0.0578290925121951	10752	33.39	0.674324656724571	"Tenant 1"
2720	13600	0.0758181612840467	0.057768301097561	10880	33.7875	0.673711166884502	"Tenant 1"
2752	13760	0.0756408215175097	0.0577075096829268	11008	34.185	0.673097677044434	"Tenant 1"
2784	13920	0.0754634817509728	0.0576467182682927	11136	34.5825	0.672484187204366	"Tenant 1"
2816	14080	0.0752861419844358	0.0575859268536585	11264	34.98	0.671870697364297	"Tenant 1"
2848	14240	0.0751088022178988	0.0575251354390244	11392	35.3775	0.671257207524229	"Tenant 1"
2880	14400	0.0749314624513619	0.0574768997614411	11520	35.775	0.670766763907259	"Tenant 1"
2912	14560	0.0747541226848249	0.0574428939191821	11648	36.1725	0.670415772676467	"Tenant 1"
2944	14720	0.0745767829182879	0.0574088880769231	11776	36.57	0.670064781445675	"Tenant 1"
2976	14880	0.074399443151751	0.0573748822346641	11904	36.9675	0.669713790214883	"Tenant 1"
3008	15040	0.074222103385214	0.0573408763924051	12032	37.365	0.669362798984091	"Tenant 1"
3040	15200	0.0740447636186771	0.0573068705501461	12160	37.7625	0.669011807753299	"Tenant 1"
3072	15360	0.0738821576264592	0.0572728647078871	12288	38.16	0.668662289899939	"Tenant 1"
3072	0	1	1	0	0	10	"Tenant 2"
3040	160	0.977972035918367	0.826654145882353	128	0.3975	8.2990078332389	"Tenant 2"
3008	320	0.94615307	0.646018072857143	256	0.795	6.525592421	"Tenant 2"
2976	480	0.904499624666667	0.48433406	384	1.1925	4.93692375046667	"Tenant 2"
2944	640	0.86494853625	0.365445328032787	512	1.59	3.76785906834631	"Tenant 2"
2912	800	0.826654145882353	0.259640425652174	640	1.9875	2.72714158597954	"Tenant 2"
2880	960	0.787438334117647	0.18118487991453	768	2.385	1.95435565657416	"Tenant 2"
2848	1120	0.751896778076923	0.129260844324324	896	2.7825	1.44194595218607	"Tenant 2"
