"size.L1"	"mr.L1"	"latency"	"mr.L2"	"size.L2e"	"cost"
0	1	1.17	0.0989795918367347	665.888677054437	0.442191699606462
0	1	1.18	0.1	633.72842689158	0.42083528348269
0	1	1.19	0.101020408163265	601.568176728723	0.399478867358918
0	1	1.2	0.102040816326531	569.407926565866	0.378122451235145
0	1	1.21	0.103061224489796	537.247676403009	0.356766035111373
0	1	1.22	0.104081632653061	506.171612370372	0.3361295863397
0	1	1.23	0.105102040816327	485.982800545543	0.322722953487275
0	1	1.24	0.106122448979592	465.793988720713	0.309316320634849
0	1	1.25	0.107142857142857	445.605176895884	0.295909687782423
0	1	1.26	0.108163265306122	425.416365071054	0.282503054929997
0	1	1.27	0.109183673469388	405.227553246225	0.269096422077571
0	1	1.28	0.110204081632653	385.991266869609	0.2563223256556
0	1	1.29	0.111224489795918	372.296436074089	0.24722810208045
0	1	1.3	0.112244897959184	358.60160527857	0.2381338785053
0	1	1.31	0.113265306122449	344.90677448305	0.22903965493015
0	1	1.32	0.114285714285714	331.21194368753	0.219945431355
0	1	1.33	0.11530612244898	317.51711289201	0.210851207779851
0	1	1.34	0.116326530612245	303.822282096491	0.201756984204701
0	1	1.35	0.11734693877551	290.127451300971	0.192662760629551
0	1	1.36	0.118367346938776	276.432620505451	0.183568537054401
0	1	1.37	0.119387755102041	262.737789709932	0.174474313479252
0	1	1.38	0.120408163265306	252.410113127451	0.167616090748698
0	1	1.39	0.121428571428571	243.863478792052	0.161940591385347
0	1	1.4	0.122448979591837	235.316844456653	0.156265092021996
0	1	1.41	0.123469387755102	226.770210121255	0.150589592658646
0	1	1.42	0.124489795918367	218.223575785856	0.144914093295295
0	1	1.43	0.125510204081633	209.676941450457	0.139238593931944
0	1	1.44	0.126530612244898	201.130307115059	0.133563094568594
0	1	1.45	0.127551020408163	195.47042367723	0.129804578223161
0	1	1.46	0.128571428571429	189.855234815968	0.126075741869979
0	1	1.47	0.129591836734694	184.240045954706	0.122346905516797
0	1	1.48	0.130612244897959	178.624857093444	0.118618069163615
0	1	1.49	0.131632653061224	173.009668232182	0.114889232810433
0	1	1.5	0.13265306122449	167.394479370919	0.111160396457251
